key,en,ja,ko,zh_Hans,ru,pt_BR,de,es,es_MX,fr,pl,tr
<!MissingKey:160:🍂 Scales with Autumn destruction>,"🍂 Scales with Autumn destruction
Max resource x2.5","🍂 秋の破壊率に比例増加
最大資源 ×2.5","🍂 가을 파괴율에 비례 증가
최대 자원 ×2.5","🍂 随秋季破坏率按比例增加
最大资源 ×2.5","🍂 Растёт с разрушением Осени
Макс. ресурсы ×2.5","🍂 Escala com destruição do Outono
Recurso máx. ×2.5","🍂 Skaliert mit Herbst-Zerstörung
Max. Ressourcen ×2.5","🍂 Escala con destrucción de Otoño
Recurso máximo x2.5","🍂 Escala con destrucción de Otoño
Recurso máximo x2.5","🍂 Évolue avec la destruction de l'Automne
Ressource max x2.5","🍂 Skaluje się z destrukcją Jesieni
Maks. zasoby x2.5","🍂 Sonbahar yıkımıyla ölçeklenir
Maks kaynak x2.5"
MENU_CONTINUE,Continue,続ける,계속하기,继续,Продолжить,Continuar,Weiter,Continuar,Continuar,Continuer,Kontynuuj,Devam Et
MINIMAP_CORE_LOCKED,Locked Core (shield active),ロック中（シールド有効）,잠긴 코어 (보호막 활성),已锁定核心（护盾启动）,Защищённое ядро (щит),Núcleo Trancado (escudo ativo),Gesperrter Kern (Schild aktiv),Núcleo Bloqueado (escudo activo),Núcleo Bloqueado (escudo activo),Noyau Verrouillé (bouclier actif),Rdzeń Zablokowany (tarcza aktywna),Kilitli Çekirdek (kalkan aktif)
STATS_SUMMARY,📈 Cumulative Summary,📈 累計サマリー,📈 누적 요약,📈 累计摘要,📈 Итого,📈 Resumo Acumulado,📈 Gesamtübersicht,📈 Resumen Acumulado,📈 Resumen Acumulado,📈 Résumé Cumulé,📈 Podsumowanie Łączne,📈 Kümülatif Özet
<!MissingKey:164:⊞ Multi Laser I>,⊞ Multi Laser I,⊞ マルチレーザー I,⊞ 멀티 레이저 I,⊞ 多重激光 I,⊞ Мультилазер I,⊞ Multi Laser I,⊞ Multilaser I,⊞ Multi Láser I,⊞ Multi Láser I,⊞ Multi Laser I,⊞ Multi Laser I,⊞ Çoklu Lazer I
<!MissingKey:165:Hit 2 blocks at once>,Hit 2 blocks at once,同時に2ブロック攻撃,동시 2블록 타격,同时攻击2个方块,2 блока одновременно,Atingir 2 blocos,2 Blöcke gleichzeitig,Golpea 2 bloques a la vez,Impacta 2 bloques a la vez,Touche 2 blocs à la fois,Traf 2 bloki naraz,Aynı anda 2 blok vur
<!MissingKey:166:Click to continue...>,Click to continue...,クリックして続ける...,클릭하여 계속...,点击继续...,Нажмите для продолжения...,Clique para continuar...,Klicken zum Fortfahren...,Clic para continuar...,Clic para continuar...,Cliquez pour continuer...,"Kliknij, aby kontynuować...",Devam etmek için tıkla...
<!MissingKey:167:⊞ Multi Laser III>,⊞ Multi Laser III,⊞ マルチレーザー III,⊞ 멀티 레이저 III,⊞ 多重激光 III,⊞ Мультилазер III,⊞ Multi Laser III,⊞ Multilaser III,⊞ Multi Láser III,⊞ Multi Láser III,⊞ Multi Laser III,⊞ Multi Laser III,⊞ Çoklu Lazer III
CORE_REWARD_TITLE,🔴 Core Rewards,🔴 コア報酬,🔴 코어 보상,🔴 核心奖励,🔴 Награды за ядро,🔴 Recompensas do Núcleo,🔴 Kernbelohnungen,🔴 Recompensas de Núcleo,🔴 Recompensas de Núcleo,🔴 Récompenses de Noyau,🔴 Nagrody za Rdzeń,🔴 Çekirdek Ödülleri
<!MissingKey:169:Every 5th shot critical>,"Every 5th shot critical
Damage ×3","5発ごとにクリティカル
ダメージ ×3","매 5발째 크리티컬
데미지 ×3","每5发暴击
伤害 ×3","Каждый 5-й крит
Урон ×3","Cada 5 tiros crítico
Dano ×3","Jeder 5. Schuss kritisch
Schaden ×3","Cada 5 disparos crítico
Daño ×3","Cada 5 disparos crítico
Daño ×3","Chaque 5e tir critique
Dégâts ×3","Co 5. strzał krytyczny
Obrażenia ×3","Her 5. atış kritik
Hasar ×3"
TUT_MINE_HINT,Destroy the blocks!,ブロックを破壊！,블록을 파괴하세요!,破坏方块！,Уничтожайте блоки!,Destrua os blocos!,Blöcke zerstören!,¡Destruye los bloques!,¡Destruye los bloques!,Détruisez les blocs !,Niszcz bloki!,Blokları yık!
NODE_CLICK_BUY,(Click to buy),(クリックで購入),(클릭하여 구매),(点击购买),(Купить),(Clique para comprar),(Klick zum Kauf),(Clic para comprar),(Clic para comprar),(Cliquez pour acheter),"(Kliknij, aby kupić)",(Satın almak için tıkla)
<!MissingKey:172:🍂 Scales with Autumn destruction>,"🍂 Scales with Autumn destruction
Max damage x2.5
⚠ Condition: 4 cores destroyed","🍂 秋の破壊率に比例増加
最大ダメージ ×2.5
⚠ 条件: コア4個破壊","🍂 가을 파괴율에 비례 증가
최대 데미지 ×2.5
⚠ 조건: 코어 4개 파괴","🍂 随秋季破坏率按比例增加
最大伤害 ×2.5
⚠ 条件: 摧毁4个核心","🍂 Растёт с разрушением Осени
Макс. урон ×2.5
⚠ Условие: 4 ядра уничтожено","🍂 Escala com destruição do Outono
Dano máx. ×2.5
⚠ Condição: 4 núcleos destruídos","🍂 Skaliert mit Herbst-Zerstörung
Max. Schaden ×2.5
⚠ Bedingung: 4 Kerne zerstört","🍂 Escala con destrucción de Otoño
Daño máximo x2.5
⚠ Condición: 4 núcleos destruidos","🍂 Escala con destrucción de Otoño
Daño máximo x2.5
⚠ Condición: 4 núcleos destruidos","🍂 Évolue avec la destruction de l'Automne
Dégâts max x2.5
⚠ Condition : 4 noyaux détruits","🍂 Skaluje się z destrukcją Jesieni
Maks. obrażenia x2.5
⚠ Warunek: 4 rdzenie zniszczone","🍂 Sonbahar yıkımıyla ölçeklenir
Maks hasar x2.5
⚠ Koşul: 4 çekirdek yıkılmış"
DEMO_END_TITLE,Thanks for Playing!,プレイいただきありがとうございます！,플레이해 주셔서 감사합니다!,感谢您的试玩！,Спасибо за игру!,Obrigado por Jogar!,Danke fürs Spielen!,¡Gracias por Jugar!,¡Gracias por Jugar!,Merci d'avoir joué !,Dziękujemy za Grę!,Oynadığınız için Teşekkürler!
<!MissingKey:174:Fuel +12s>,Fuel +12s,燃料 +12秒,연료 +12초,燃料 +12秒,Топливо +12с,Combustível +12s,Treibstoff +12s,Combustible +12s,Combustible +12s,Carburant +12s,Paliwo +12s,Yakıt +12s
CORE_DESC_DETECT,"Core HP visualization
Pulsing + color change as HP drops","コアHPを可視化
HP低下で脈動＋色変化","코어 블록에 HP 시각화
HP 낮을수록 맥동 + 색상 변화","核心HP可视化
HP越低脉动+颜色变化","Визуализация HP ядра
Пульсация + смена цвета","Visualização HP do núcleo
Pulsação + mudança de cor","Kern-HP-Anzeige
Pulsieren + Farbwechsel","Visualización de HP del núcleo
Pulso + cambio de color al bajar HP","Visualización de HP del núcleo
Pulso + cambio de color al bajar HP","Visualisation des PV du noyau
Pulsation + changement de couleur","Wizualizacja HP rdzenia
Pulsowanie + zmiana koloru","Çekirdek HP görselleştirmesi
HP düştükçe titreşim + renk değişimi"
<!MissingKey:176:🧲 Resource Magnet>,🧲 Resource Magnet,🧲 資源マグネット,🧲 자원 자석,🧲 资源磁铁,🧲 Магнит ресурсов,🧲 Ímã de Recursos,🧲 Ressourcenmagnet,🧲 Imán de Recursos,🧲 Imán de Recolección,🧲 Aimant à Ressources,🧲 Magnes Zasobów,🧲 Kaynak Mıknatısı
TUT_FUEL_LABEL,Fuel Gauge,燃料ゲージ,연료 게이지,燃料表,Топливо,Medidor de Combustível,Tankanzeige,Indicador de Combustible,Indicador de Combustible,Jauge de Carburant,Wskaźnik Paliwa,Yakıt Göstergesi
<!MissingKey:178:❌ Close>,❌ Close,❌ 閉じる,❌ 닫기,❌ 关闭,❌ Закрыть,❌ Fechar,❌ Schließen,❌ Cerrar,❌ Cerrar,❌ Fermer,❌ Zamknij,❌ Kapat
DEMO_END_MENU,Main Menu,メインメニュー,메인 메뉴,主菜单,Главное меню,Menu Principal,Hauptmenü,Menú Principal,Menú Principal,Menu Principal,Menu Główne,Ana Menü
<!MissingKey:180:📍 Minimap>,📍 Minimap,📍 ミニマップ,📍 미니맵,📍 小地图,📍 Миникарта,📍 Minimapa,📍 Minikarte,📍 Minimapa,📍 Minimapa,📍 Minicarte,📍 Minimapa,📍 Mini Harita
<!MissingKey:181:Gold/Core block resource +12>,Gold/Core block resource +12,金/コアブロック資源 +12,금/코어 블록 자원 +12,金/核心方块资源 +12,Золото/ядро +12 ресурсов,Recurso ouro/núcleo +12,Gold/Kern-Ressource +12,Recurso de bloque dorado/núcleo +12,Recurso de bloque dorado/núcleo +12,Ressource bloc doré/noyau +12,Zasoby złotego/rdzenia +12,Altın/Çekirdek blok kaynağı +12
<!MissingKey:182:No resource loss on ship destruction>,No resource loss on ship destruction,船体破壊時資源損失率 0%,우주선 파괴 시 자원 손실률 0%,飞船毁坏时资源损失率0%,Без потерь при уничтожении корабля,Sem perda de recursos ao destruir nave,Kein Ressourcenverlust bei Zerstörung,Sin pérdida de recursos al destruirse la nave,Sin pérdida de recursos al destruirse la nave,Aucune perte de ressources à la destruction,Brak strat zasobów przy zniszczeniu statku,Gemi yıkımında kaynak kaybı yok
CORE_DESC_DIRECTION,3 o'clock launch direction,3時方向出撃選択可能,3시 방향 출항 선택 가능,可选择3点方向出击,Запуск в направлении 3 часов,Direção de lançamento 3 horas,Startrichtung 3 Uhr,Dirección de lanzamiento a las 3 en punto,Dirección de lanzamiento a las 3 en punto,Direction de lancement à 3 heures,Kierunek startu na godzinę 3,Saat 3 yönünde fırlatma
<!MissingKey:184:⚡Mega>,⚡Mega,⚡メガ,⚡메가,⚡巨型,⚡Мега,⚡Mega,⚡Mega,⚡Mega,⚡Mega,⚡Méga,⚡Mega,⚡Mega
TUT_FUEL,Fuel empty!,燃料切れ！,연료 고갈!,燃料耗尽！,Топливо кончилось!,Sem combustível!,Tank leer!,¡Sin combustible!,¡Sin combustible!,Plus de carburant !,Brak paliwa!,Yakıt bitti!
MASTERY_POPUP_TITLE,Planet Mastery Unlocked,惑星支配 解放,행성 지배 해금,行星支配已解锁,Господство над планетой,Domínio do Planeta,Planetenherrschaft,Dominio del Planeta,Dominio del Planeta,Maîtrise Planétaire,Dominacja nad Planetą,Gezegen Hakimiyeti
<!MissingKey:187:🌀 Shockwave Enhance>,🌀 Shockwave Enhance,🌀 衝撃波強化,🌀 충격파 강화,🌀 冲击波强化,🌀 Усиление волны,🌀 Onda Aprimorada,🌀 Schockwelle verstärkt,🌀 Mejora de Onda de Choque,🌀 Mejora de Onda de Choque,🌀 Amélioration Onde de Choc,🌀 Ulepszenie Fali Uderzeniowej,🌀 Şok Dalgası Geliştirme
WPN_ELECTRIC,⚡ Electric,⚡ 電気,⚡ 전기,⚡ 电击,⚡ Электро,⚡ Elétrico,⚡ Elektro,⚡ Eléctrico,⚡ Eléctrico,⚡ Électrique,⚡ Elektryczny,⚡ Elektrik
<!MissingKey:189:🔍 Core Detect>,🔍 Core Detect,🔍 コア探知,🔍 코어 탐지,🔍 核心探测,🔍 Обнаружение ядра,🔍 Detecção de Núcleo,🔍 Kernerkennung,🔍 Detectar Núcleo,🔍 Detectar Núcleo,🔍 Détection de Noyau,🔍 Wykrywanie Rdzenia,🔍 Çekirdek Tespiti
<!MissingKey:190:Laser damage +25>,Laser damage +25,レーザーダメージ +25,레이저 데미지 +25,激光伤害 +25,Урон лазера +25,Dano do laser +25,Laserschaden +25,Daño láser +25,Daño láser +25,Dégâts laser +25,Obrażenia lasera +25,Lazer hasarı +25
TUT_CRASH,Crash!,衝突！,충돌!,碰撞！,Столкновение!,Colisão!,Zusammenstoß!,¡Choque!,¡Choque!,Crash !,Zderzenie!,Çarpışma!
<!MissingKey:192:🌀Shockwave>,🌀Shockwave,🌀衝撃波,🌀충격파,🌀冲击波,🌀Волна,🌀Onda,🌀Welle,🌀Onda,🌀Onda,🌀Onde,🌀Fala,🌀Dalga
EPILOGUE_CORES,Cores Destroyed,コア破壊,코어 파괴,核心破坏,Ядер уничтожено,Núcleos Destruídos,Kerne zerstört,Núcleos Destruidos,Núcleos Destruidos,Noyaux Détruits,Zniszczone Rdzenie,Yıkılan Çekirdekler
<!MissingKey:194:⚡Electric>,⚡Electric,⚡電気,⚡전기,⚡电气,⚡Электро,⚡Elétrico,⚡Elektro,⚡Eléctrico,⚡Eléctrico,⚡Électrique,⚡Elektryczny,⚡Elektrik
CORE_BUY_FMT,🔴 Core ×%d (Click to buy),🔴 コア ×%d (クリックで購入),🔴 코어 ×%d (클릭하여 구매),🔴 核心 ×%d (点击购买),🔴 Ядро ×%d (Купить),🔴 Núcleo ×%d (Clique para comprar),🔴 Kern ×%d (Klick zum Kauf),🔴 Núcleo ×%d (Clic para comprar),🔴 Núcleo ×%d (Clic para comprar),🔴 Noyau ×%d (Cliquez pour acheter),"🔴 Rdzeń ×%d (Kliknij, aby kupić)",🔴 Çekirdek ×%d (Satın almak için tıkla)
STATS_TOTAL_CORES,Total Cores,総破壊コア,총 파괴 코어,总破坏核心,Всего ядер,Total de Núcleos,Kerne gesamt,Núcleos Totales,Núcleos Totales,Noyaux Totaux,Łączne Rdzenie,Toplam Çekirdekler
<!MissingKey:197:🌸 Scales with Spring destruction>,"🌸 Scales with Spring destruction
Max damage x2","🌸 春の破壊率に比例増加
最大ダメージ ×2","🌸 봄 파괴율에 비례 증가
최대 데미지 ×2","🌸 随春季破坏率按比例增加
最大伤害 ×2","🌸 Растёт с разрушением Весны
Макс. урон ×2","🌸 Escala com destruição da Primavera
Dano máx. ×2","🌸 Skaliert mit Frühlings-Zerstörung
Max. Schaden ×2","🌸 Escala con destrucción de Primavera
Daño máximo x2","🌸 Escala con destrucción de Primavera
Daño máximo x2","🌸 Évolue avec la destruction du Printemps
Dégâts max x2","🌸 Skaluje się z destrukcją Wiosny
Maks. obrażenia x2","🌸 Bahar yıkımıyla ölçeklenir
Maks hasar x2"
<!MissingKey:198:⚡ Electric Range I>,⚡ Electric Range I,⚡ 電気範囲強化 I,⚡ 전기 범위 강화 I,⚡ 电气范围强化 I,⚡ Дальность электричества I,⚡ Alcance Elétrico I,⚡ Elektroreichweite I,⚡ Alcance Eléctrico I,⚡ Alcance Eléctrico I,⚡ Portée Électrique I,⚡ Zasięg Elektryczny I,⚡ Elektrik Menzili I
<!MissingKey:199:💠 Resonance Amplify>,💠 Resonance Amplify,💠 共鳴増幅,💠 공명 증폭,💠 共振增幅,💠 Усиление резонанса,💠 Amplificação de Ressonância,💠 Resonanzverstärkung,💠 Amplificación de Resonancia,💠 Amplificación de Resonancia,💠 Amplification de Résonance,💠 Wzmocnienie Rezonacji,💠 Rezonans Güçlendirme
CORE_DESC_MASTERY,"Unlock planet regen
Condition: 100%% destroyed","惑星再生成解放
条件: 破壊率100%%","행성 재생성 해금
조건: 행성 파괴률 100%%","解锁行星重生
条件: 破坏率100%%","Разблокировка регенерации
Условие: 100%% разрушено","Desbloquear regeneração
Condição: 100%% destruído","Planetenregeneration
Bedingung: 100%% zerstört","Desbloquear regeneración del planeta
Condición: 100%% destruido","Desbloquear regeneración del planeta
Condición: 100%% destruido","Débloquer la régénération planétaire
Condition : 100%% détruit","Odblokuj regenerację planety
Warunek: 100%% zniszczenia","Gezegen yenilenmesini aç
Koşul: %100 yıkılmış"
DEMO_END_MSG,"This is the end of the demo.
The full game will have more zones and upgrades!","デモはここまでです。
製品版ではもっと多くのエリアとアップグレードが！","데모는 여기까지입니다.
정식 버전에서는 더 많은 구역과 업그레이드가 기다립니다!","试玩到此结束。
正式版将有更多区域和升级！","Это конец демо.
В полной версии больше зон и улучшений!","Este é o fim da demo.
O jogo completo terá mais zonas e melhorias!","Das war die Demo.
Das Vollspiel bietet mehr Zonen und Upgrades!","Este es el final de la demo.
¡El juego completo tendrá más zonas y mejoras!","Este es el final de la demo.
¡El juego completo tendrá más zonas y mejoras!","C'est la fin de la démo.
Le jeu complet aura plus de zones et d'améliorations !","To koniec dema.
Pełna gra będzie miała więcej stref i ulepszeń!","Bu demonun sonudur.
Tam oyunda daha fazla bölge ve geliştirme olacak!"
SETTINGS_LANG,🌐 Language,🌐 言語,🌐 언어,🌐 语言,🌐 Язык,🌐 Idioma,🌐 Sprache,🌐 Idioma,🌐 Idioma,🌐 Langue,🌐 Język,🌐 Dil
STATS_TOTAL_RESOURCE,Total Resources,保有資源,보유 자원,持有资源,Всего ресурсов,Total de Recursos,Gesamtressourcen,Recursos Totales,Recursos Totales,Ressources Totales,Łączne Zasoby,Toplam Kaynaklar
NODE_NEED_PREREQ,(Prerequisite needed),(前提ノード必要),(선행 노드 필요),(需要前置节点),(Нужно условие),(Pré-requisito necessário),(Voraussetzung nötig),(Requisito previo necesario),(Requisito previo necesario),(Prérequis nécessaire),(Wymagany warunek wstępny),(Ön koşul gerekli)
<!MissingKey:205:Gold blocks appear>,"Gold blocks appear
5x resource drop","ゴールドブロック出現
資源5倍ドロップ","금블록 출현
자원 5배 드롭","金方块出现
资源5倍掉落","Появляются золотые блоки
Ресурсы ×5","Blocos dourados aparecem
Recurso ×5","Goldblöcke erscheinen
Ressourcen ×5","Aparecen bloques dorados
Recurso x5","Aparecen bloques dorados
Recurso x5","Les blocs dorés apparaissent
Ressource x5","Pojawiają się złote bloki
Zasoby x5","Altın bloklar belirir
Kaynak x5"
MENU_CONTINUE,Continue,続ける,계속,继续,Продолжить,Continuar,Weiter,Continuar,Continuar,Continuer,Kontynuuj,Devam Et
<!MissingKey:207:Fuel +3s>,Fuel +3s,燃料 +3秒,연료 +3초,燃料 +3秒,Топливо +3с,Combustível +3s,Treibstoff +3s,Combustible +3s,Combustible +3s,Carburant +3s,Paliwo +3s,Yakıt +3s
<!MissingKey:208:The planet is gone. Nothing but silence remains.>,"The planet is gone. Nothing but silence remains.
But somehow... you feel at peace.

Developed by jyj","惑星は消えた。静寂だけが残る。
だが不思議と…穏やかだ。

Developed by jyj","행성이 사라졌다. 고요함만이 남았다.
하지만 어쩐지... 평온하다.

Developed by jyj","行星消失了。只剩下寂静。
但不知为何…你感到平静。

Developed by jyj","Планета исчезла. Осталась лишь тишина.
Но почему-то… вам спокойно.

Developed by jyj","O planeta se foi. Só resta silêncio.
Mas de alguma forma... você se sente em paz.

Developed by jyj","Der Planet ist verschwunden. Nur Stille bleibt.
Aber irgendwie... fühlst du dich friedlich.

Developed by jyj","El planeta ha desaparecido. Solo queda silencio.
Pero de algún modo... sientes paz.

Developed by jyj","El planeta ha desaparecido. Solo queda silencio.
Pero de algún modo... sientes paz.

Developed by jyj","La planète a disparu. Seul le silence demeure.
Mais étrangement... vous êtes en paix.

Developed by jyj","Planeta zniknęła. Została tylko cisza.
Ale jakoś... czujesz spokój.

Developed by jyj","Gezegen yok oldu. Geriye sadece sessizlik kaldı.
Ama nedense... huzurlu hissediyorsun.

Developed by jyj"
<!MissingKey:209:🌡️ Overheat>,🌡️ Overheat,🌡️ オーバーヒート,🌡️ 과열,🌡️ 过热,🌡️ Перегрев,🌡️ Superaquecimento,🌡️ Überhitzung,🌡️ Sobrecalentamiento,🌡️ Sobrecalentamiento,🌡️ Surchauffe,🌡️ Przegrzanie,🌡️ Aşırı Isınma
CARGO_FMT,📦 %d / %d,📦 %d / %d,📦 %d / %d,📦 %d / %d,📦 %d / %d,📦 %d / %d,📦 %d / %d,📦 %d / %d,📦 %d / %d,📦 %d / %d,📦 %d / %d,📦 %d / %d
<!MissingKey:211:On laser hit>,"On laser hit
lightning chains 3 times","レーザー命中時
雷が3回連鎖","레이저 적중 시
번개 3회 연쇄","激光命中时
闪电连锁3次","При попадании лазером
молния 3 раза","Ao acertar laser
relâmpago em cadeia 3x","Bei Lasertreffer
Blitz kettet 3-mal","Al impactar con láser
El rayo encadena 3 veces","Al impactar con láser
El rayo encadena 3 veces","Lors d'un tir laser
L'éclair se propage 3 fois","Przy trafieniu laserem
Błyskawica łączy 3 razy","Lazer vuruşunda
yıldırım 3 kez zincirler"
SETTINGS_SFX,🔊 SFX,🔊 効果音,🔊 효과음,🔊 音效,🔊 Звуки,🔊 Efeitos,🔊 Effekte,🔊 SFX,🔊 SFX,🔊 SFX,🔊 SFX,🔊 SFX
<!MissingKey:213:⚔ Damage Boost III>,⚔ Damage Boost III,⚔ ダメージブースト III,⚔ 데미지 증폭 III,⚔ 伤害增幅 III,⚔ Усиление урона III,⚔ Amplificação de Dano III,⚔ Schadensverstärkung III,⚔ Potenciador de Daño III,⚔ Potenciador de Daño III,⚔ Boost de Dégâts III,⚔ Wzmocnienie Obrażeń III,⚔ Hasar Güçlendirme III
TUT_MINE_TITLE,⛏️ Mining,⛏️ 採掘,⛏️ 채굴,⛏️ 采矿,⛏️ Добыча,⛏️ Mineração,⛏️ Abbau,⛏️ Minería,⛏️ Minería,⛏️ Minage,⛏️ Wydobycie,⛏️ Madencilik
"<!MissingKey:215:Sync 30%, Crit 25%>","Sync 30%, Crit 25%",同期30% クリ25%,"동기화 30%, 크리 25%",同步30% 暴击25%,"Синхр. 30%, Крит 25%","Sinc 30%, Crít 25%","Sync 30%, Krit 25%","Sincronización 30%, Crítico 25%","Sincronización 30%, Crítico 25%","Synchronisation 30%, Critique 25%","Synchronizacja 30%, Krytyk 25%","Senkronizasyon %30, Kritik %25"
<!MissingKey:216:Overheat gauge speed -30%>,Overheat gauge speed -30%,過熱ゲージ上昇速度-30%,과열 게이지 상승 속도 30% 감소,过热计量速度-30%,Скорость перегрева -30%,Velocidade de superaquecimento -30%,Überhitzung -30%,Velocidad de sobrecalentamiento -30%,Velocidad de sobrecalentamiento -30%,Vitesse de surchauffe -30%,Prędkość przegrzania -30%,Aşırı ısınma hızı -%30
<!MissingKey:217:Cargo +10>,Cargo +10,貨物 +10個,화물칸 +10개,货舱 +10个,Трюм +10,Carga +10,Fracht +10,Carga +10,Carga +10,Cargaison +10,Ładownia +10,Kargo +10
<!MissingKey:218:Gauge down Duration up>,Gauge down Duration up,ゲージ↓ 持続時間↑,게이지↓ 지속시간↑,充能↓ 持续时间↑,Шкала↓ Длительность↑,Medidor↓ Duração↑,Ladung↓ Dauer↑,Menos carga Más duración,Menos carga Más duración,Moins de charge Plus de durée,Mniej ładowania Więcej czasu,Daha az şarj Daha fazla süre
MEGA_GAUGE_FMT,⚡ Mega %d / %d,⚡ メガ %d / %d,⚡ 메가 %d / %d,⚡ 超级 %d / %d,⚡ Мега %d / %d,⚡ Mega %d / %d,⚡ Mega %d / %d,⚡ Mega %d / %d,⚡ Mega %d / %d,⚡ Méga %d / %d,⚡ Mega %d / %d,⚡ Mega %d / %d
<!MissingKey:220:💰 Resource Boost I>,💰 Resource Boost I,💰 資源ブースト I,💰 자원 증폭 I,💰 资源增幅 I,💰 Усиление ресурсов I,💰 Amplificação de Recursos I,💰 Ressourcenverstärkung I,💰 Potenciador de Recursos I,💰 Potenciador de Recursos I,💰 Boost de Ressources I,💰 Wzmocnienie Zasobów I,💰 Kaynak Güçlendirme I
<!MissingKey:221:⚡ Electric Block Unlock>,⚡ Electric Block Unlock,⚡ 電気ブロック解放,⚡ 전기 블록 해금,⚡ 电气方块解锁,⚡ Электроблок,⚡ Bloco Elétrico,⚡ Elektroblock,⚡ Desbloqueo de Bloque Eléctrico,⚡ Desbloqueo de Bloque Eléctrico,⚡ Déblocage Bloc Électrique,⚡ Odblokowanie Bloku Elektrycznego,⚡ Elektrik Blok Kilidi Açma
<!MissingKey:222:Fire interval -0.04s>,Fire interval -0.04s,発射間隔 -0.04秒,발사간격 -0.04초,发射间隔 -0.04秒,Интервал -0.04с,Intervalo -0.04s,"Intervall -0,04s",Intervalo de disparo -0.04s,Intervalo de disparo -0.04s,Intervalle de tir -0.04s,Interwał strzału -0.04s,Atış aralığı -0.04s
TUT_MOVE_TITLE,📡 Movement,📡 移動,📡 이동,📡 移动,📡 Движение,📡 Movimento,📡 Bewegung,📡 Movimiento,📡 Movimiento,📡 Déplacement,📡 Ruch,📡 Hareket
DMG_BY_WEAPON,Damage by Weapon,武器別ダメージ,무기별 딜량,各武器伤害,Урон по оружию,Dano por Arma,Schaden nach Waffe,Daño por Arma,Daño por Arma,Dégâts par Arme,Obrażenia wg Broni,Silaha Göre Hasar
<!MissingKey:225:Chain range +1 tile>,Chain range +1 tile,連鎖範囲 +1マス,연쇄 범위 +1칸,连锁范围 +1格,Дальность цепи +1 клетка,Alcance da cadeia +1 bloco,Kettenreichweite +1 Feld,Alcance de cadena +1 casilla,Alcance de cadena +1 casilla,Portée de chaîne +1 case,Zasięg łańcucha +1 kratka,Zincir menzili +1 kare
TUT_CARGO_LABEL,Cargo Hold,貨物室,화물칸,货舱,Трюм,Porão de Carga,Frachtraum,Bodega de Carga,Compartimento de Carga,Soute à Cargaison,Ładownia,Kargo Bölmesi
TUT_MINE_DESC,"Your ship automatically fires lasers at nearby blocks.
Destroy blocks to collect ore.
Ore fills your cargo hold — return when full!","船が近くのブロックに自動でレーザーを発射します。
ブロックを破壊して鉱石を集めましょう。
貨物室が満杯になったら帰還！","우주선이 근처 블록에 자동으로 레이저를 발사합니다.
블록을 파괴하면 광석을 얻습니다.
광석이 화물칸을 채우면 귀환하세요!","飞船会自动向附近方块发射激光。
破坏方块收集矿石。
货舱装满后返航！","Корабль автоматически стреляет по блокам.
Уничтожайте блоки для сбора руды.
Когда трюм полон — возвращайтесь!","Sua nave dispara lasers automaticamente.
Destrua blocos para coletar minério.
Quando a carga lotar — retorne!","Dein Schiff feuert automatisch auf Blöcke.
Zerstöre Blöcke, um Erz zu sammeln.
Bei voller Fracht — zurückkehren!","Tu nave dispara láseres automáticamente.
Destruye bloques para recoger mineral.
¡Vuelve cuando la carga esté llena!","Tu nave dispara láseres automáticamente.
Destruye bloques para recolectar mineral.
¡Regresa cuando la carga esté llena!","Votre vaisseau tire automatiquement.
Détruisez des blocs pour collecter du minerai.
Revenez quand la cargaison est pleine !","Twój statek automatycznie strzela laserami.
Niszcz bloki, aby zbierać minerały.
Wróć, gdy ładownia jest pełna!","Geminiz otomatik olarak lazer atar.
Kaynak toplamak için blokları yıkın.
Kargo dolunca geri dönün!"
SETTINGS_FULLSCREEN,📺 Fullscreen,📺 フルスクリーン,📺 전체화면,📺 全屏,📺 Полный экран,📺 Tela Cheia,📺 Vollbild,📺 Pantalla Completa,📺 Pantalla Completa,📺 Plein Écran,📺 Pełny Ekran,📺 Tam Ekran
NODE_NEED_CORE,(⚠ Destroy %d/%d cores first),(⚠ コア %d/%d 破壊必要),(⚠ 코어 %d/%d 파괴 필요),(⚠ 需先消灭 %d/%d 核心),(⚠ Уничтожьте %d/%d ядер),(⚠ Destrua %d/%d núcleos),(⚠ Zerstöre %d/%d Kerne),(⚠ Destruye %d/%d núcleos primero),(⚠ Destruye %d/%d núcleos primero),(⚠ Détruisez d'abord %d/%d noyaux),(⚠ Zniszcz najpierw %d/%d rdzeni),(⚠ Önce %d/%d çekirdek yık)
CORE_REWARD_TITLE,🔴 Core Rewards,🔴 コア報酬,🔴 코어 보상,🔴 核心奖励,🔴 Награды за ядро,🔴 Recompensas do Núcleo,🔴 Kernbelohnungen,🔴 Recompensas de Núcleo,🔴 Recompensas de Núcleo,🔴 Récompenses de Noyau,🔴 Nagrody za Rdzeń,🔴 Çekirdek Ödülleri
CORE_DESC_BRAKE,Instant stop on left-click hold,左クリック長押しで即停止,좌클릭 홀드 시 즉시 정지,左键长按立即停止,Мгновенная остановка при зажатии ЛКМ,Parada instantânea ao segurar clique,Sofortstopp bei gehaltenem Linksklick,Parada instantánea al mantener clic izquierdo,Parada instantánea al mantener clic,Arrêt instantané en maintenant le clic gauche,Natychmiastowe zatrzymanie przytrzymaniem LPM,Sol tıklama basılı tutarak anında dur
